centre_number,orbit_index,x,y,local_dimension,intercept,r_squared,fit_points,min_fit_count,max_fit_count,estimator,fit_min_radius,fit_max_radius,fit_min_mass,fit_max_mass
229,21190,0.04545931256378105,-0.19540506566017551,1.4905755085886832,-1.3600387597081747,0.9416715861906975,18,15,1947,knn,0.0075948501650160765,0.2130824146947358,0.0003,0.03894
230,21273,-0.12269530544157686,-0.30799164031186027,1.123770354267171,-1.4821834711980753,0.9975773754422861,18,15,1947,knn,0.002456106101852421,0.20277240332929672,0.0003,0.03894
231,21448,0.4376309146440647,0.21758886861477836,1.5007236950765186,0.907463803208975,0.9897068545604053,18,15,1947,knn,0.0022701252799896274,0.06534597288217826,0.0003,0.03894
232,21550,1.1778414939354216,-0.0743742230622321,1.3636440527397595,0.23561999274221354,0.9810884639446815,18,15,1947,knn,0.0019606423952103083,0.07513815137222199,0.0003,0.03894
233,21698,0.4000071233275718,0.18565482724822369,1.108218616505566,-0.5420694425969456,0.9603542245042287,18,15,1947,knn,0.0009670735104295209,0.05433247576747424,0.0003,0.03894
234,21716,1.0405378086618593,-0.1253537034264474,1.1965765439853708,-0.3658491045384049,0.9934806290868449,18,15,1947,knn,0.001367969521466664,0.09355451835388937,0.0003,0.03894
235,21745,0.16234573836420085,0.23779771597310104,1.6849465752773234,0.9831613338421957,0.9716398494126828,18,15,1947,knn,0.00432112874653303,0.1078592655241549,0.0003,0.03894
236,21976,-0.8761881621483173,0.3533340435211745,1.2388288549684734,-0.5247657161415513,0.9862434660338237,18,15,1947,knn,0.002102420864439828,0.11991529560306426,0.0003,0.03894
237,21990,1.1994866300728648,0.028987759024480617,1.4452918812999138,0.654469104915118,0.9625392903221431,18,15,1947,knn,0.001725071544973733,0.06236084037529318,0.0003,0.03894
238,22397,1.2605464582368198,-0.039328273670041165,1.0481014799613722,-0.3651633208670158,0.9973662939007422,18,15,1947,knn,0.0005718312978150593,0.055908803607625165,0.0003,0.03894
239,22568,1.0411163502875938,0.09258040537082073,2.0596543754695222,3.429836669726598,0.9776275149314528,18,15,1947,knn,0.0030610670665374602,0.04369149665175572,0.0003,0.03894
